pool,selector,seed,n,lo_pct,hi_pct,L2_star_abs,L2_star_cdf,nn_min_abs,nn_cv_abs,tail_share_p90,corner_share_p90,ks_mean_vs_pool,mst_edge_mean,mst_edge_min,mst_edge_cv,zero_event_share_selected,zero_event_share_pool
pool,lhs_nn,6,100,1.0,99.0,0.025074904436346586,0.011747283650434596,0.1428615866022975,0.3070503178310179,0.25125,0.93,0.2368125,0.3820194702040806,0.1428615866022975,0.2671801693252658,0.0,0.007
pool,lhs_nn,7,100,1.0,99.0,0.024459849647951257,0.011813095527271987,0.18295534245242562,0.3080569196811362,0.26375000000000004,0.94,0.2320625,0.3835651837560557,0.18295534245242562,0.28097095765997837,0.0,0.007
pool,lhs_nn,8,100,1.0,99.0,0.023276232023592917,0.011772411504644963,0.12516988612286667,0.36576378783152935,0.26875,0.98,0.2400625,0.3830425057425135,0.1251698861228667,0.3132236269447378,0.0,0.007
pool,lhs_nn,9,100,1.0,99.0,0.02190543112988301,0.01207893239534406,0.2053433090285768,0.2591624897133891,0.25875,0.94,0.24756250000000002,0.3829082042845438,0.2053433090285768,0.23031654420394565,0.0,0.007
pool,lhs_assign,0,100,1.0,99.0,0.026385574949089826,0.011458439261983288,0.1428615866022975,0.2772907144003131,0.24375,0.91,0.22212500000000002,0.37925323272431877,0.1428615866022975,0.23852032667184891,0.0,0.007
pool,lhs_assign,1,100,1.0,99.0,0.0229286667286944,0.011985419360293924,0.14150022967657355,0.2761391119953313,0.2575,0.98,0.24956250000000002,0.37873060776204726,0.14150022967657355,0.2423785157605981,0.0,0.007
pool,lhs_assign,2,100,1.0,99.0,0.022722250005674703,0.011842687757775,0.18295534245242562,0.2646297485509661,0.25875000000000004,0.94,0.236375,0.39133160902169895,0.18295534245242562,0.229889991164045,0.0,0.007
pool,lhs_assign,3,100,1.0,99.0,0.02123312355973792,0.011964060417991843,0.1428615866022975,0.2731851158848925,0.265,0.97,0.24475000000000002,0.3846542941717624,0.1428615866022975,0.2398673422006932,0.0,0.007
pool,lhs_assign,4,100,1.0,99.0,0.02298076792009066,0.011986579297186852,0.1428615866022975,0.2997232004094246,0.25750000000000006,0.97,0.238375,0.36899900335125424,0.1428615866022975,0.26719913452348426,0.0,0.007
pool,lhs_assign,5,100,1.0,99.0,0.027685445039240714,0.011945501514232612,0.21579587065788763,0.24136352794061822,0.255,0.95,0.2473125,0.3779675876518977,0.21579587065788763,0.21670000428246997,0.0,0.007
pool,lhs_assign,6,100,1.0,99.0,0.02494443669563427,0.01173842802622817,0.1428615866022975,0.33751722045826693,0.24875,0.93,0.23962499999999998,0.3753371855778429,0.1428615866022975,0.28975764332216497,0.0,0.007
pool,lhs_assign,7,100,1.0,99.0,0.023905905325967015,0.011816197409810889,0.19173638473610158,0.2792854329071897,0.2575,0.94,0.2309375,0.38559738809986754,0.19173638473610158,0.24665990094411824,0.0,0.007
pool,lhs_assign,8,100,1.0,99.0,0.023188110172894804,0.011763478407712828,0.14150022967657355,0.31537088548805653,0.25999999999999995,0.97,0.2433125,0.37731508672432784,0.14150022967657355,0.27186022772148255,0.0,0.007
pool,lhs_assign,9,100,1.0,99.0,0.020630101836134437,0.012095450619043489,0.2053433090285768,0.2826938041212051,0.25875,0.94,0.2428125,0.38755851531452595,0.2053433090285768,0.24784356266812876,0.0,0.007
pool,maximin,0,100,1.0,99.0,0.03828665788614598,0.010154609860932822,0.4630509096971145,0.07324309291470785,0.2475,0.9,0.183375,0.5174530899211842,0.4630509096971145,0.07271852347943762,0.04,0.007
pool,maximin,1,100,1.0,99.0,0.03828665788614598,0.010154609860932822,0.4630509096971145,0.07324309291470785,0.2475,0.9,0.183375,0.5174530899211842,0.4630509096971145,0.07271852347943762,0.04,0.007
pool,maximin,2,100,1.0,99.0,0.03828665788614598,0.010154609860932822,0.4630509096971145,0.07324309291470785,0.2475,0.9,0.183375,0.5174530899211842,0.4630509096971145,0.07271852347943762,0.04,0.007
pool,maximin,3,100,1.0,99.0,0.03828665788614598,0.010154609860932822,0.4630509096971145,0.07324309291470785,0.2475,0.9,0.183375,0.5174530899211842,0.4630509096971145,0.07271852347943762,0.04,0.007
pool,maximin,4,100,1.0,99.0,0.03828665788614598,0.010154609860932822,0.4630509096971145,0.07324309291470785,0.2475,0.9,0.183375,0.5174530899211842,0.4630509096971145,0.07271852347943762,0.04,0.007
pool,maximin,5,100,1.0,99.0,0.03828665788614598,0.010154609860932822,0.4630509096971145,0.07324309291470785,0.2475,0.9,0.183375,0.5174530899211842,0.4630509096971145,0.07271852347943762,0.04,0.007
pool,maximin,6,100,1.0,99.0,0.03828665788614598,0.010154609860932822,0.4630509096971145,0.07324309291470785,0.2475,0.9,0.183375,0.5174530899211842,0.4630509096971145,0.07271852347943762,0.04,0.007
